#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
,,,2.247e-09;3.67071e-09;4.09796e-09;4.30779e-09;7.39081e-09;2.23891e-08;1.62103e-07;1.68651e-07;5.70932e-09,0.480721;1.61387;0.0199891;0.00129403;0.0018528;7.36046e-05;3.29469e-05;6.5703e-05;0.184801,1;1;1;1;1;1;1;1;1
,,,2.7709e-09,0.30134,0
1.62034e-10;1.56382e-10,0.0781995;0.445476,0;1,3.28209e-09;4.37665e-09;5.17999e-09;5.79241e-09;5.96674e-09;1.3033e-08;1.56562e-08;1.95895e-08;2.36813e-08;4.35912e-08;5.39013e-08;4.85753e-09,1.12975;0.997864;0.113297;0.293338;0.0130863;0.00889663;0.00340269;0.00152003;0.00185134;0.000667346;2.28386e-05;0.286701,1;1;1;1;1;1;1;1;1;1;1;2
1.83373e-10;2.44238e-10;2.51949e-10,0.242446;0.0955715;0.0400544,3;3;3,,,
2.24994e-10;2.16287e-10,1.04371;0.426854,2;3,,,
1.54806e-10;1.86311e-10,0.0889942;0.0915672,0;3,,,
,,,1.63266e-09,2.10188,1
1.85229e-10,0.122399,3,3.38211e-09;3.58179e-09;4.65373e-09;8.14983e-09;8.47761e-09,0.602236;0.0464524;0.110142;0.0182751;0.132962,0;0;0;0;0
1.74878e-10;2.50061e-10;1.51308e-10,0.182903;0.0338733;0.670587,0;0;1,,,
1.57685e-10,0.678726,0,,,
1.97933e-10,0.179669,3,,,
,,,7.28276e-09;9.61978e-09,0.202989;0.00951912,1;1
,,,3.57137e-09,0.0123129,1
1.63851e-10;1.60472e-10;1.4744e-10;1.531e-10;2.31039e-10;1.5354e-10;2.72563e-10,0.833797;0.145666;0.245152;0.00733431;0.13898;0.0289325;0.0197972,0;0;1;1;1;1;1,,,
1.9749e-10,0.694626,3,1.42223e-09;2.57629e-09;5.25811e-09,4.1986;1.09035;0.217027,1;1;1
1.71586e-10,0.0134723,1,6.29509e-09;7.81805e-09;1.01276e-08;1.83616e-08;6.41991e-08;6.58575e-08;1.04951e-07;1.05215e-07;1.08378e-07;1.23862e-07;1.85089e-07,0.249544;0.00341196;4.05352e-05;0.000184405;0.000225856;0.000212852;8.5253e-05;7.0651e-05;2.04724e-05;0.000108354;1.25888e-05,1;1;1;1;1;1;1;1;1;1;1
,,,3.16706e-09,0.380537,2
1.6583e-10;1.90788e-10;2.16463e-10,0.0589407;0.00201573;0.0141705,1;2;2,,,
1.68432e-10;3.05109e-10,0.281682;0.0664631,1;1,,,
1.48292e-10,0.0936073,1,,,
2.11253e-10;1.76158e-10,0.071707;0.389787,0;0,6.27667e-09;6.71129e-09;8.29663e-09;8.4024e-09;1.13037e-08;1.61178e-08;5.96293e-08;8.34632e-08;2.82245e-07;2.88093e-07,0.279383;0.025375;0.0216425;0.0046916;0.00138028;0.000513629;3.79435e-05;9.54576e-05;1.83406e-05;1.68329e-05,1;1;1;1;1;1;1;1;1;1
,,,1.63829e-09;1.71532e-09;2.90892e-09;3.66254e-09,3.92112;0.0674387;0.380884;0.0158594,0;0;0;0
1.51664e-10;1.99887e-10;3.32806e-10;1.55291e-10;2.69395e-10;1.766e-10,0.537436;0.0995708;0.0394517;0.399014;0.0409473;1.12063,1;1;1;1;1;1,,,
1.52625e-10,0.0558637,0,5.06561e-09,0.222259,2
1.8503e-10,0.506442,3,,,
1.5397e-10,0.468348,0,,,
,,,8.37514e-09;8.98424e-09,0.104986;0.0104936,0;0
,,,2.23448e-09;2.38986e-09;5.58572e-09;5.61476e-09;1.0782e-08;4.25875e-09,5.56735;0.00168343;0.0065496;0.000415798;0.000309271;0.730423,2;2;2;2;2;3
1.91249e-10,0.179946,3,,,
1.84974e-10;1.58282e-10,0.0704403;2.513,0;0,,,
1.59445e-10;1.65158e-10,0.0229823;1.26768,0;0,2.54119e-08;3.22041e-08,0.0105637;0.00789,2;2
,,,2.61885e-09,1.20923,1
,,,2.36091e-09,1.09899,1
2.02779e-10;2.94354e-10,0.452232;0.0215352,3;3,5.05064e-09;5.39335e-09,0.292212;0.0771573,1;1
1.52794e-10;1.78414e-10;1.85945e-10;2.10418e-10,0.0241881;0.0833823;0.120012;0.00586697,0;0;2;2,,,
,,,3.78364e-09;4.64824e-09;6.44454e-09;2.13434e-08;2.21003e-08;2.37388e-08;3.28843e-08;3.44542e-08;6.30789e-08,0.33087;0.31984;0.0330986;0.00930705;0.00233671;0.00069169;0.000470713;0.000386582;6.95518e-05,1;1;1;1;1;1;1;1;1
1.5202e-10;2.00812e-10,0.169266;0.198892,1;3,2.48315e-09;3.94775e-09;4.30638e-09,0.75189;0.682803;0.0790894,1;1;1
1.5461e-10,0.132999,0,,,
,,,3.69144e-09;4.00991e-09,0.191436;0.189869,0;0
1.83574e-10,0.0932557,1,5.36774e-09;7.2213e-09;7.54893e-09;8.95315e-09;4.86295e-08,0.318734;0.0439536;0.0128421;0.000907648;0.000456565,1;1;1;1;1
,,,2.88725e-09;7.36367e-09,0.361906;0.546975,0;3
1.70037e-10;1.60441e-10;1.49707e-10,0.00285197;0.0895547;0.015933,0;0;1,4.84015e-09;5.50171e-09;5.85697e-09;8.21092e-09,0.330455;0.285936;0.0481107;0.0124822,3;3;3;3
,,,4.2952e-09;4.54507e-09;8.25014e-09;1.15614e-08;1.15771e-08;1.39633e-08;2.04559e-08,0.339602;0.339046;0.00413792;0.0048605;0.0151013;0.000217583;0.000262982,0;0;0;0;0;0;0
1.7919e-10,0.0265013,0,1.32747e-09;1.3293e-09;2.22833e-09;2.92026e-09;2.94969e-09;3.09038e-09;8.40124e-09;1.51223e-08;4.22988e-08,7.94893;0.831622;0.0273645;0.00113704;0.00221631;0.00127047;0.000211692;0.00014946;2.40303e-05,1;1;1;1;1;1;1;1;1
1.85325e-10,0.0426526,1,,,
,,,6.89453e-09;6.89649e-09;7.93102e-09;1.05539e-08;2.40005e-08,0.331337;0.00177165;0.00308019;0.00227858;0.000395334,3;3;3;3;3
2.19031e-10;2.81e-10;2.06665e-10,0.0809773;0.144322;0.0971042,2;2;2,,,
1.57735e-10;1.60604e-10,0.366782;0.0556701,0;1,,,
1.56182e-10,0.215688,1,1.30844e-08;3.1597e-09;3.37209e-09,0.0179366;2.32211;0.0229551,2;3;3
,,,3.51121e-09,1.879,2
,,,6.55003e-09,0.112593,1
1.59076e-10;1.65185e-10,0.0211836;0.0937685,1;1,1.31068e-08;9.11565e-09;9.83657e-09,0.0955581;0.189035;0.000178857,1;2;2
1.46591e-10,0.631688,1,,,
1.51504e-10,0.594707,1,,,
1.49406e-10,0.90129,1,5.18496e-09;1.09824e-08;1.25016e-08,0.68653;0.0396278;0.0173096,3;3;3
,,,2.16383e-09,2.39164,2
1.50527e-10,0.240094,0,,,
1.61532e-10,1.73038,0,3.09055e-09;3.92214e-09;4.03302e-09,0.197066;1.87871;0.117764,2;2;2
1.56506e-10;4.65483e-10;1.45957e-10;2.33123e-10;3.29685e-10;4.00913e-10;4.75863e-10;5.43186e-10,0.226216;0.00799548;0.0495088;0.0258995;0.0107201;0.0106719;0.0067229;0.00177801,0;1;1;1;1;1;1;1,4.14171e-09;2.48013e-09;4.19113e-09;4.70801e-09;4.84131e-09;7.70981e-09;1.33546e-08;3.22195e-08;3.3436e-08;3.76768e-08;3.96617e-08,0.102386;1.08572;0.379063;0.115268;0.00824182;0.0276058;0.00498051;0.000555959;0.00349327;0.00356994;1.87044e-05,0;1;1;1;1;1;1;1;1;1;1
1.50309e-10,0.0554618,1,6.2095e-09;6.53482e-09,0.401195;0.023887,1;1
1.85897e-10,0.0123127,3,3.18718e-09,1.81217,3
1.48162e-10;1.84753e-10;2.00179e-10,0.0600286;0.0872667;0.0172053,0;3;3,,,
1.90449e-10;4.73873e-10;5.46971e-10;1.83909e-10,0.228592;0.0700341;0.0345944;0.997794,0;2;2;3,,,
1.49012e-10;1.82422e-10;1.47063e-10,0.271648;0.119934;0.321187,0;1;1,,,
1.60663e-10;2.412e-10,0.0241461;0.329319,1;1,,,
1.53555e-10;1.83147e-10,0.0202371;0.151363,1;1,5.24535e-09;6.58007e-09;9.35538e-09,0.0681657;0.0433866;0.0055768,1;1;1
2.15071e-10,0.04922,2,,,
2.06711e-10,0.563428,3,,,
,,,3.87995e-09;4.93956e-09;4.98964e-09,0.555129;0.580935;0.00236603,3;3;3
1.87173e-10,0.262971,3,,,
1.47383e-10,0.00324768,0,,,
,,,5.33436e-09;7.44688e-09;7.71319e-09;1.15842e-08;1.1854e-08;1.29657e-08,0.168029;0.0669811;0.119676;0.158118;0.0026091;0.00129138,0;0;0;0;0;0
,,,9.76981e-09;1.18906e-08;1.29704e-08;1.54306e-08;1.78404e-08;4.32642e-08;4.46522e-08;7.3984e-08;8.38699e-08;1.09157e-07,0.215063;0.019477;0.000230345;0.00982972;0.000581476;0.000390836;1.28741e-05;0.000299211;7.94186e-05;0.000134674,1;1;1;1;1;1;1;1;1;1
1.5181e-10,0.165573,0,,,
1.585e-10;1.74802e-10;1.88508e-10,0.0202394;0.0823538;0.0623075,0;0;3,3.28525e-09;3.3004e-09,0.0136064;0.457659,2;2
,,,8.3846e-09;3.67813e-08;4.00544e-08;4.96766e-08;4.9973e-08,0.158641;0.0692328;0.0013259;0.000463247;0.000212112,0;2;2;2;2
,,,3.82596e-09;4.03753e-09,0.717591;0.0589927,2;2
1.4776e-10,0.501708,1,,,
,,,2.38776e-09;2.98649e-09;5.12573e-09;6.60626e-09;2.16212e-09;4.2124e-09;2.87894e-09;3.35173e-09,1.63645;0.202352;0.0286579;0.004998;2.05347;0.102872;0.953279;0.804971,0;0;0;0;1;1;3;3
,,,4.8294e-09,0.22026,2
1.55123e-10,0.147267,0,,,
1.61071e-10,0.38661,1,6.81021e-09;8.18374e-09;1.76097e-08;1.93115e-08;2.28789e-08;4.61934e-08;5.56184e-08,0.246534;0.00189071;0.00478342;0.000332086;2.82538e-05;0.000321614;0.000546928,1;1;1;1;1;1;1
1.85824e-10;1.93512e-10,0.16791;0.362384,3;3,,,
1.85612e-10;2.42612e-10,0.0378914;0.044286,2;2,,,
1.89667e-10,0.295786,1,,,
1.66353e-10,0.240407,1,3.46096e-09,0.351068,0
1.88281e-10,0.0342163,1,,,
1.65514e-10,1.0474,1,3.12507e-09;4.2574e-09;2.53538e-09;1.35816e-08;2.0447e-08;3.68814e-08;4.14831e-08;1.11663e-07;1.25465e-07,0.533189;0.214445;1.44642;0.132704;0.0021067;0.00125617;0.000120152;0.000145387;6.99124e-05,0;0;0;0;0;0;0;0;0
1.59371e-10;1.98225e-10;1.97072e-10,0.0690009;0.0037232;0.097556,0;0;3,1.60862e-09;1.7895e-09;2.51661e-09,2.36331;0.227537;0.0416238,0;0;0
1.55745e-10;1.93102e-10;2.26864e-10,0.0586762;0.110273;0.0698332,0;0;0,,,
1.46956e-10;1.641e-10;2.02428e-10;1.86529e-10,0.116586;0.220004;0.0808555;1.48422,1;1;1;2,,,
1.59199e-10,0.0535724,0,,,
1.65149e-10,0.0937984,0,,,
,,,2.81229e-09,0.169739,1
2.06454e-10;2.0812e-10,0.096627;0.0467405,2;2,2.59989e-09,0.857268,0
2.00057e-10;2.08884e-10;1.99078e-10,1.52597;0.0121982;0.163475,1;1;2,,,
,,,6.15256e-09,0.0444985,0
1.67713e-10;1.624e-10;1.82972e-10;2.05692e-10,0.0042993;0.151916;0.0900637;0.251727,0;1;3;3,,,
1.47035e-10,1.41547,1,7.24267e-09,0.288777,0
1.89168e-10;2.78492e-10;2.94384e-10,0.0312043;0.0255965;0.0207283,3;3;3,,,
1.52806e-10;1.79042e-10;1.51598e-10;1.6814e-10;2.42411e-10,0.133692;0.0751793;0.00125825;0.279691;0.0925645,0;0;0;0;0,,,
,,,2.3756e-09;3.57478e-09;4.28752e-09;8.2476e-09,1.5161;0.125058;0.249795;0.0819307,0;0;0;0
1.66392e-10;1.93003e-10;1.60861e-10;1.99395e-10;2.7052e-10,0.497949;0.00634295;0.111089;0.0111236;0.0928592,1;1;1;1;1,,,
,,,5.13674e-09,0.147016,3
,,,3.26811e-09;3.38615e-09;4.89168e-09;4.94994e-09;1.14093e-08;1.36784e-08;1.43279e-08,0.169227;0.728694;0.283569;0.0244552;0.000339249;0.0187603;0.000472111,1;1;1;1;1;1;1
,,,2.78497e-09;3.5845e-09;4.37846e-09;5.33225e-09;1.38394e-08,1.17397;0.00472973;0.1135;0.0287341;0.010467,0;0;0;0;0
1.50464e-10;1.96162e-10;5.78666e-10,0.118854;0.0193116;0.00127099,0;0;1,5.57932e-09;8.10728e-09,0.338039;0.0331276,1;1
1.52888e-10;4.35441e-10;4.67429e-10,0.141205;0.00388319;0.0320732,1;2;2,1.80251e-09;3.29945e-09;3.38573e-09,2.98414;0.20449;0.0137993,1;1;1
1.9636e-10;2.21517e-10;2.35535e-10,0.272444;0.0218457;0.00146567,0;0;0,,,
,,,4.75291e-09;5.4052e-09;7.54433e-09;1.33674e-08,0.232574;0.0372661;0.108127;0.050954,1;1;1;1
1.55299e-10;2.06888e-10,0.0409949;0.738875,0;2,2.17698e-09;2.21299e-09;3.07312e-09,1.34115;1.05705;0.312976,1;1;1
1.7169e-10;2.44296e-10,1.22153;0.434902,0;0,6.55225e-09;8.48352e-09;1.02327e-08;1.18615e-08;1.33306e-08;1.54558e-08;1.8329e-08;1.19192e-07;1.45844e-07;1.64137e-09,0.216188;0.0165481;0.0717972;0.0041955;0.00268003;0.000392967;2.68091e-05;4.33461e-05;2.89776e-05;0.707559,0;0;0;0;0;0;0;0;0;0
,,,2.8868e-09;3.63017e-09;8.0028e-09;9.63396e-09;1.0737e-08,0.836231;0.356584;0.0293091;0.0394638;0.000629915,1;1;1;1;1
2.17918e-10;2.89785e-10,0.0407198;0.0556077,2;2,5.19462e-09;5.9779e-09;8.03784e-09,0.410896;0.0156957;0.01676,0;0;0
1.46563e-10;1.77198e-10,0.0722265;0.0157101,0;1,1.22832e-08,0.0692068,1
