#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
1.83013e-10;1.8809e-10,0.212205;0.204174,3;3,,,
1.92034e-10;1.84119e-10,0.0206261;0.56446,2;2,,,
1.52196e-10;1.52564e-10,0.0428895;1.50753,0;1,6.19118e-09;9.20555e-09;1.97926e-09,0.0873276;0.0651726;0.100414,1;1;3
1.47297e-10;1.89161e-10,0.0718334;0.13773,1;2,,,
1.56e-10;1.50414e-10,0.117884;0.119214,1;1,6.14537e-09;6.30574e-09,0.0350715;0.251368,1;1
,,,4.80714e-09,0.112107,3
,,,3.33811e-09;5.23069e-09,0.693434;0.0789981,1;1
1.49044e-10;2.20697e-10,0.580352;0.0245678,1;1,1.1992e-08;1.25826e-08,0.0305685;0.00897003,2;2
1.66816e-10;1.93672e-10,1.13798;0.38833,1;3,,,
2.05866e-10,0.00104147,2,8.43536e-09;9.34443e-09;9.9581e-09;1.09514e-08;1.19182e-08;1.34384e-08;2.59453e-08;2.73108e-08;1.68929e-07,0.231391;0.00293054;0.00062824;0.00371953;0.000774713;0.00177196;0.00109993;5.30036e-05;1.88145e-05,0;0;0;0;0;0;0;0;0
1.46985e-10;1.58694e-10,2.80055;0.0232392,0;1,,,
1.48165e-10;2.12624e-10,0.101425;0.0303243,0;3,,,
2.01041e-10,0.0227512,2,4.04434e-09;5.69311e-09;1.15751e-08;1.20096e-08;1.71347e-08;2.46369e-08;3.83572e-08,0.366799;0.144561;0.0356185;0.00629989;0.00155071;0.00186423;0.000111221,1;1;1;1;1;1;1
1.55582e-10;1.86033e-10;1.92021e-10,0.372608;0.020541;0.0987778,1;2;2,1.97505e-08;3.00451e-08,0.00396486;0.0212122,0;0
1.55976e-10,0.580506,1,,,
1.59141e-10,0.104588,1,,,
1.58993e-10,0.0430458,0,,,
1.83227e-10,0.000405365,1,2.02157e-09,0.687128,0
1.86585e-10;2.11672e-10;2.13309e-10,0.0101769;0.0771489;0.0559573,0;0;1,,,
1.79136e-10;1.6147e-10,0.208814;0.178043,0;1,2.40709e-09,0.547204,0
,,,6.31179e-09;6.37441e-09;1.27864e-08;1.49065e-08;1.81552e-08,0.131028;0.00132741;0.0595547;0.0264629;0.024495,0;0;0;0;0
1.86309e-10,0.116523,0,,,
1.47873e-10,0.0127162,0,,,
1.51759e-10;1.65945e-10;1.49757e-10;2.132e-10;1.60219e-10,0.351411;0.325258;1.92491;0.260214;0.00437675,0;0;0;0;1,,,
1.74401e-10;2.50293e-10;2.85273e-10;3.02438e-10,0.141491;0.0362488;0.0172548;0.0169929,0;0;0;0,,,
1.54745e-10;2.09958e-10;2.31903e-10;2.324e-10,0.127909;0.0924357;0.00936478;0.0147121,0;3;3;3,,,
1.88563e-10;1.90799e-10,0.0336526;0.00921573,3;3,3.68978e-09;4.4112e-09,0.280608;0.186649,1;1
1.59725e-10;2.2033e-10;2.25562e-10,0.13749;0.0572372;0.00211166,0;0;0,4.12961e-09;4.63696e-09,0.387254;0.0105068,1;1
1.85737e-10;2.50202e-10,0.114528;0.0333716,3;3,,,
1.63077e-10;1.60385e-10;7.20824e-10;2.24888e-10;2.0791e-10,0.0766847;0.119288;0.0318211;0.0121337;0.760665,0;0;1;2;3,,,
1.65774e-10;1.83876e-10,0.285391;1.39973,0;1,,,
,,,4.06927e-09;4.17068e-09;5.54643e-09;1.31312e-08;1.50998e-08;1.7227e-08;4.89526e-08;7.0026e-08;7.10004e-08;1.27467e-07;3.86144e-07,0.522844;0.0651328;0.021827;0.00880835;0.00358602;0.0020208;0.000510671;0.000165683;0.000919277;0.00025697;4.76001e-05,0;0;0;0;0;0;0;0;0;0;0
1.48452e-10,1.0854,1,,,
,,,8.32772e-09;2.91166e-09;3.18078e-09,0.0700755;0.525082;0.496891,2;2;2
,,,3.034e-09;6.75887e-09,1.15063;0.0782872,0;3
,,,3.62731e-09;3.25302e-09;2.18775e-09,0.53722;0.0529541;1.41643,0;3;3
1.50118e-10,0.32327,0,,,
1.66077e-10;1.98119e-10,0.273369;0.578485,0;0,,,
1.61426e-10,0.100234,1,3.33728e-09,1.25252,0
1.80519e-10,0.0722463,0,,,
,,,4.0868e-09,0.290827,0
1.89258e-10;2.05092e-10,0.0456558;0.0351215,2;2,,,
1.52879e-10;2.24157e-10,0.990567;0.0637229,0;0,,,
1.85833e-10,0.0689571,2,,,
1.56863e-10;1.70992e-10;1.48129e-10,0.22398;0.0400181;0.0186648,0;0;1,4.02141e-09;7.40334e-09,0.0846229;0.141785,2;2
1.71742e-10,0.211068,1,,,
1.68838e-10;2.852e-10,0.18359;1.02637,1;1,5.18074e-09;1.09134e-08,0.610963;0.0384614,3;3
,,,3.18682e-09,0.672672,1
,,,4.49873e-09;4.97034e-09,0.195032;0.517421,0;0
1.92808e-10,0.29091,2,,,
2.30445e-10,0.419593,3,,,
,,,5.35204e-09;6.5474e-09;6.9393e-09;7.97799e-09;8.71724e-09;4.3476e-09,0.329574;0.0856917;0.00676465;0.0115915;0.0089637;0.416474,1;1;1;1;1;1
1.49484e-10;1.48519e-10,0.0661386;0.253808,0;1,2.26265e-09;4.6374e-09;7.31032e-09,1.6768;0.539017;0.06402,1;1;1
1.86156e-10,0.625265,3,,,
1.54028e-10;2.4702e-10,0.0386098;0.0909122,0;0,4.89036e-09;2.78024e-09,0.285068;0.476299,0;0
,,,3.81309e-09;6.8002e-09,0.385354;0.194589,1;1
,,,5.06516e-09;9.70506e-09,0.0479792;0.0826584,0;0
,,,1.67729e-09,0.0721209,0
,,,1.60505e-09,4.36655,1
,,,3.23252e-09,1.22617,3
1.84537e-10,2.4112,2,,,
2.08527e-10;5.15007e-10;5.83306e-10;2.14222e-10;3.04544e-10,0.226806;0.077476;0.00742733;0.608136;0.0307295,0;2;2;2;2,,,
2.07813e-10;2.31935e-10,0.985995;0.0320077,2;3,,,
1.78167e-10,2.19556,0,3.60756e-09;3.18218e-09,0.269659;1.1056,2;2
1.4632e-10,0.539098,1,4.51335e-09,0.401811,1
,,,4.84793e-09,0.0306476,2
1.57337e-10;1.5978e-10;2.21592e-10,0.0502123;0.111172;0.0570656,0;1;1,,,
,,,1.53028e-09;2.66689e-09,0.359844;0.960104,1;1
7.44904e-10;1.66412e-10,0.0230196;0.141384,0;1,,,
1.51753e-10;1.56019e-10;1.92804e-10;1.95574e-10;2.32608e-10;3.13342e-10,0.420848;0.206826;0.0814312;0.174111;0.0135918;0.199478,0;0;3;3;3;3,,,
,,,2.86725e-09,1.41511,1
,,,2.37194e-09,0.52738,0
,,,8.36352e-09,0.36611,1
1.47633e-10;5.33331e-10,0.0937373;0.0274083,1;3,2.99172e-09;4.45004e-09;6.2906e-09;8.71172e-09;1.00142e-08;1.15655e-08;1.3255e-08;1.65811e-08;2.06494e-08;2.31886e-08;1.43851e-07;1.57339e-07,0.457789;0.108386;0.298818;0.115769;0.0361607;0.0411089;0.0173298;0.00329995;0.0147443;0.00044711;6.93961e-05;3.84645e-05,1;1;1;1;1;1;1;1;1;1;1;1
1.54023e-10;1.52324e-10,0.00791648;0.0520769,0;1,3.25313e-08;4.53755e-09,0.0296059;0.671501,1;2
1.50612e-10,0.25932,0,,,
1.59393e-10,0.255899,0,,,
2.02843e-10,0.189547,2,4.07741e-09;8.92653e-09,0.103756;0.158594,1;1
1.8039e-10,0.0808905,0,,,
,,,7.03755e-09,0.35878,2
1.53642e-10,0.594984,0,3.27019e-09;6.34246e-09;7.13921e-09,0.256521;0.57517;0.0533686,1;1;1
1.75373e-10,0.197378,1,,,
1.48243e-10,0.306089,1,3.4491e-09;3.88728e-09,1.49037;0.053218,0;0
1.87052e-10,0.262297,3,,,
1.47715e-10,0.0213192,1,,,
,,,3.74808e-09;5.07011e-09;6.37255e-09;6.25885e-09;7.24554e-09;8.43707e-09;1.00639e-08;1.65582e-08,0.0613311;0.0687941;0.041014;0.540846;0.0831626;0.0247834;0.0115111;0.000821719,1;1;1;3;3;3;3;3
,,,3.71768e-09;5.34927e-09;8.34727e-09;2.02118e-08;3.76603e-08;4.10712e-08,0.939873;0.000889405;0.00230645;0.000290548;0.000157211;1.10537e-05,0;0;0;0;0;0
2.04174e-10;1.6001e-10;1.79383e-10,0.0357711;1.57948;0.121744,1;1;1,,,
1.65726e-10,0.207895,0,,,
,,,1.3967e-09;3.0826e-09,2.13782;0.461226,0;2
1.67527e-10;1.85508e-10,0.149891;1.02903,1;3,4.83386e-09;5.14481e-09;7.06441e-09,0.582873;0.0330221;0.192883,3;3;3
,,,3.97706e-09;5.62051e-09;6.31555e-09,0.300902;0.195897;0.0613168,1;1;1
1.52738e-10,0.500802,0,4.41586e-09;4.43782e-09;4.64515e-09,0.871434;0.0638279;0.0607489,1;1;1
1.60655e-10;2.23531e-10;3.02809e-10;3.2376e-10,0.958477;0.252489;0.027815;0.00718988,1;1;1;1,4.23501e-09;4.28225e-09;1.245e-08;1.25261e-08;1.44035e-08;1.63075e-08,0.242534;0.257021;0.0136653;0.0101548;0.00547065;0.0256058,0;0;0;0;0;0
1.62952e-10;2.02311e-10;3.23817e-10,0.335806;0.132218;0.018128,1;1;1,,,
1.68139e-10,0.339928,0,,,
1.75286e-10,0.1429,0,,,
,,,4.91568e-09;8.88337e-09,0.522767;0.0224785,1;1
1.45973e-10;1.54282e-10;3.40432e-10;4.5062e-10;2.03997e-10;1.90375e-10,0.0760641;0.230286;0.0325465;0.00105497;0.339856;0.0241017,0;0;0;1;3;3,,,
1.52688e-10;5.31804e-10,0.601149;0.0120134,0;1,,,
,,,3.25137e-09,0.284799,3
,,,3.37776e-09;3.45131e-09;5.00057e-09;7.7865e-09;8.43006e-09,0.224082;0.49031;0.0409107;0.140008;0.00115015,1;1;1;1;1
1.95666e-10;2.10362e-10,0.626848;0.220048,1;2,,,
1.5509e-10;2.68981e-10;1.48725e-10,0.0545356;0.0287051;0.354575,0;0;0,,,
1.72999e-10;1.85979e-10,0.0326355;0.0562933,1;1,,,
1.62617e-10;2.15652e-10;1.55056e-10,0.899712;0.123666;0.00102359,0;0;1,3.63318e-09;5.35501e-09,0.442478;0.319305,1;1
1.5395e-10,1.3063,0,2.98374e-09;3.12166e-09;3.27036e-09;7.30441e-09;7.83855e-09;2.64847e-08;8.73215e-07;8.80039e-07,0.656005;0.330266;0.116797;0.0240335;0.0212257;0.000104006;4.03026e-05;1.18155e-05,0;0;0;0;0;0;3;3
1.88518e-10,0.124651,2,,,
1.56361e-10,0.019183,1,,,
1.85764e-10,0.0925027,3,3.5073e-09,1.37697,1
